п/п,№,ФИО,ВУЗ/ филиал,ВУЗ/ филиал,Код направления,Группа ООП 2023-2024,Программа ЦК,Группа ЦК,
107,819,6538eb22a04fb531ff864966,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
108,785,6538eb27a04fb531ff864969,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,
109,415,653d2fb34f415b783ef5c012,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-363,РИС_1С,РИС-2,
110,797,6538eb2da04fb531ff86496e,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-22,СИИ,СИИ-13,
112,58,6538f7c6a04fb531ff864f2b,ВолгГМУ,лечебное дело,31.05.01 Лечебное дело,22,ППЦП,ППЦП-10,
113,235,6537e27cc2f29c6ab8f7c6f0,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МС-429,ПиР_1С,ПИР-5,
114,421,6538f7cba04fb531ff864f2d,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-334,ППЦП,ППЦП-6,
115,306,6537e281c2f29c6ab8f7c6f1,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-231,ПиР_1С,ПИР-3,
116,552,6537e285c2f29c6ab8f7c6f2,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭМЭ-357,ПиР_1С,ПИР-6,
117,918,6538eb31a04fb531ff864971,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,СИИ,СИИ-5,
118,775,6537d1e1c2f29c6ab8f7c367,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-20,ППСА,ППСА-2,
119,392,6537e28ac2f29c6ab8f7c6f4,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,ПиР_1С,ПИР-5,
120,9,6537e28fc2f29c6ab8f7c6f6,ВолГАУ,экономика и бух.учет,,ЭКФозб Э-213,ПиР_1С,ПИР-11,
121,155,6538f7d0a04fb531ff864f2f,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-332,ППЦП,ППЦП-6,
122,1035,6537d1e6c2f29c6ab8f7c369,ВолгГТУ,ФАГР ИАиС,07.03.01 Архитектура,АРХ-3-21,ППСА,ППСА-1,
123,472,653cf2c4e189abe05fdf8d0e,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-362,РИС_1С,РИС-2,
124,396,6537e294c2f29c6ab8f7c6f8,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,ПиР_1С,ПИР-5,
125,434,65393069a04fb531ff865c9c,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-351,СУБД,СУБД-5,
126,162,6538f7d6a04fb531ff864f32,ВПИ,ФАМ ВПИ,15.03.04 Автоматизация технологических процессов и производств,ВАУ-226,ППЦП,ППЦП-1,
127,181,6538f7dba04fb531ff864f34,ВПИ,ФЭИ ВПИ,18.03.01 Химическая технология,ВХТ-201,ППЦП,ППЦП-1,
128,532,6537e299c2f29c6ab8f7c6f9,ИАиС,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-451,ПиР_1С,ПИР-7,
129,461,6537e29dc2f29c6ab8f7c6fb,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-252,ПиР_1С,ПИР-9,
130,32,6538eb36a04fb531ff864976,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
131,9,6538eb3ba04fb531ff86497a,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
132,936,6537d1eac2f29c6ab8f7c36b,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-1-20,ППСА,ППСА-7,
133,21,6538f7e0a04fb531ff864f36,ВолгГМУ,институт общественного здоровья,32.05.01 Медико-профилактическое дело,4,ППЦП,ППЦП-10,
134,101,65395716a04fb531ff866165,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",ХТ-243,РВП,РВП-1,
135,603,6537d1f0c2f29c6ab8f7c36d,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-22,ППСА,ППСА-9,
136,1075,6538eb40a04fb531ff86497d,ВолгГТУ,ФПИК,09.03.01 Информатика и вычислительная техника,ВТВ-267,СИИ,СИИ-12,
137,907,6540af538d4312cf6ca30a0e,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,РИС_1С,РИС-1,
138,747,653e6e6d4f415b783ef5cb4b,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,РИС_1С,РИС-2,
139,85,6538f7e5a04fb531ff864f39,ВолгГТУ,ФПИК,38.03.02 Менеджмент,ММ-36во,ППЦП,ППЦП-10,
140,19,6539306ea04fb531ff865c9d,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.03 Судебная экспертиза,422,СУБД,СУБД-2,
141,135,6539571ba04fb531ff866168,ВолгГТУ,ФАГР ИАиС,07.03.03 Дизайн архитектурной среды,ДАС-1-21,РВП,РВП-6,
142,820,6538eb45a04fb531ff864980,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
143,403,65395720a04fb531ff86616b,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,РВП,РВП-1,
144,937,6537d1f4c2f29c6ab8f7c36f,ВолгГТУ,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,Тит-1-21,ППСА,ППСА-11,
145,657,6537e2a2c2f29c6ab8f7c6fd,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
146,1038,632b54dd163d64117cb22c9e,ВПИ,ФЭИ ВПИ,38.04.01 Экономика,ВЭМ-1,РВП,РВП-5,
147,160,6538f7eaa04fb531ff864f3b,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-236,ППЦП,ППЦП-2,
148,1092,6537d1fac2f29c6ab8f7c371,ВПИ,ФАМ ВПИ,08.03.01 Строительство,ВСТ-223,ППСА,ППСА-4,
149,1089,6537d1fec2f29c6ab8f7c373,ВПИ,ФАМ ВПИ,08.03.01 Строительство,ВСТ-223,ППСА,ППСА-4,
150,406,65395729a04fb531ff86616d,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,РВП,РВП-1,
151,380,6538f7efa04fb531ff864f3e,ВолгГТУ,ФТКМ,22.04.01 Материаловедение и технологии материалов,МВ-2н,ППЦП,ППЦП-7,
152,4,6538f7f4a04fb531ff864f41,ВолгГМУ,медико-биологический,06.03.01 Биология,304,ППЦП,ППЦП-11,
153,938,6537d203c2f29c6ab8f7c375,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
154,220,6537e2a7c2f29c6ab8f7c6fe,ВолгГТУ,ФЭВТ,03.04.02 Физика,Ф-2,ПиР_1С,ПИР-5,
155,311,6538eb4aa04fb531ff864983,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-262,СИИ,СИИ-1,
156,573,6539572ea04fb531ff86616f,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР -458,РВП,РВП-9,
157,1186,6537d208c2f29c6ab8f7c379,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-10,
158,767,65393073a04fb531ff865c9f,ВолгГТУ,ФАТ,23.04.03 Эксплуатация транспортно-технологических машин и комплексов,ТЭРА-2Н,СУБД,СУБД-4,
159,503,65395733a04fb531ff866170,КТИ,КТИ,13.03.02 Электроэнергетика и электротехника,КЭЛ-201,РВП,РВП-8,
160,348,65393078a04fb531ff865ca0,ВолгГТУ,ФЭУ,42.03.01 Реклама и связи с общественностью,ЭР-253,СУБД,СУБД-4,
161,990,6538f7faa04fb531ff864f43,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-431,ППЦП,ППЦП-6,
162,386,63320ec63e21fda8e9108c07,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-428,ППЦП,ППЦП-8,
163,1047,6538f804a04fb531ff864f47,ВолгГТУ,ФТКМ,15.04.01 машиностроение,СП-1П,ППЦП,ППЦП-8,
164,821,653b7a23ae6c19d5ddcb7c3b,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,РИС_1С,РИС-3,
165,115,65395738a04fb531ff866171,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-248,РВП,РВП-1,
166,232,6537e2acc2f29c6ab8f7c701,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-448,ПиР_1С,ПИР-5,
167,15,6538eb4fa04fb531ff864986,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-267,СИИ,СИИ-14,
168,639,6539307da04fb531ff865ca2,ВолгГТУ,ФАТ,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,АТ-312,СУБД,СУБД-3,
169,1187,6537e2b1c2f29c6ab8f7c702,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,МНС-1-22,ПиР_1С,ПИР-7,
170,76,6538f809a04fb531ff864f4a,ВолгГТУ,ФТКМ,22.04.02 Металлургия,МД-2П,ППЦП,ППЦП-7,
171,1127,6537d213c2f29c6ab8f7c37e,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-4-22,ППСА,ППСА-8,
172,1188,6537d20dc2f29c6ab8f7c37c,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-10,
173,1078,6537e2b6c2f29c6ab8f7c703,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭМФ-355,ПиР_1С,ПИР-2,
174,519,6538eb54a04fb531ff864989,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-31-21,СИИ,СИИ-10,
175,1029,6538eb59a04fb531ff86498d,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-21Д-22,СИИ,СИИ-10,
176,1002,6538f80ea04fb531ff864f4d,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-328,ППЦП,ППЦП-6,
177,1013,6537d218c2f29c6ab8f7c380,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-22,ППСА,ППСА-5,
178,154,6538f813a04fb531ff864f4f,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-331,ППЦП,ППЦП-6,
179,66,6538eb5ea04fb531ff864990,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,МиР - 322,СИИ,СИИ-2,
180,130,6539573da04fb531ff866172,ВолгГТУ,ФЭВТ,12.03.01 Приборостроение,ИИТ-273,РВП,РВП-3,
181,1189,6537e2bbc2f29c6ab8f7c705,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,МНС-1-22,ПиР_1С,ПИР-7,
182,156,65395742a04fb531ff866173,ВолгГТУ,ФПИК,38.03.01 Экономика,ЭУв-281с,РВП,РВП-4,
