п/п,№,ФИО,ВУЗ/ филиал,ВУЗ/ филиал,Код направления,Группа ООП 2023-2024,Программа ЦК,Группа ЦК,
1007,1016,65393248a04fb531ff865d31,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-351,СУБД,СУБД-5,
1008,970,6537d4eac2f29c6ab8f7c4ba,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-21,ППСА,ППСА-6,
1009,247,6538fa9ea04fb531ff8650a2,ВолгГТУ,ФТКМ,22.04.01 Материаловедение и технологии материалов,МВ-2н,ППЦП,ППЦП-7,
1010,971,6537d4f0c2f29c6ab8f7c4bc,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-2-21,ППСА,ППСА-6,
1011,4,6538eee2a04fb531ff864bfc,ВГСПУ,Гаити/ GV5517393,09.03.03 Прикладная информатика,ПИБ-41,СИИ,СИИ-8,
1012,445,6538faa3a04fb531ff8650a4,ВолгГТУ,ФАСТиВ,"24.05.01 Проектирование, производство и эксплуатация ракет и ракетно- космических комплексов",РК-300,ППЦП,ППЦП-5,
1013,755,63a4b38ef099bd63acef5268,ВолгГТУ,ФАСТИВ ,27.03.04 Управление в технических системах,УТС-320,РИС_1С,РИС-4,
1014,1028,6538eee7a04fb531ff864bff,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-21Д-22,СИИ,СИИ-10,
1015,673,631f64aa09a5f9e7dcb9c35c,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-328,ППЦП,ППЦП-6,
1016,972,6537d4f5c2f29c6ab8f7c4bf,ИАиС,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,ТиТ-1-20,ППСА,ППСА-3,
1017,1020,6538eeeca04fb531ff864c00,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
1018,1106,6537d4fac2f29c6ab8f7c4c1,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,СиОНО-1-20,ППСА,ППСА-3,
1019,855,6540f59e8d4312cf6ca31483,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,РИС_1С,РИС-3,
1020,6,65369484e5c39656e8818a22,ВолГАУ,,09.03.03 Прикладная информатика,ЭМФобПИ221,СИИ,СИИ-8,
1021,1019,6538eef6a04fb531ff864c04,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-261,СИИ,СИИ-1,
1022,1,653d4a984f415b783ef5c18b,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
1023,437,6541f9b09c1990ec63a54d4c,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,РИС_1С,РИС-1,
1024,420,65395950a04fb531ff866203,ВолгГТУ,ФЭВТ,12.03.01 Приборостроение,ИИТ-373,РВП,РВП-9,
1025,262,6537d4ffc2f29c6ab8f7c4c3,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-21,ППСА,ППСА-6,
1026,102,65395956a04fb531ff866204,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-243,РВП,РВП-1,
1027,13,6539595aa04fb531ff866205,ВолГАУ,,,АТФобА-192,РВП,РВП-4,
1028,751,6537e54cc2f29c6ab8f7c80e,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-349,ПИР_1С,ПИР-5,
1029,281,6538ef00a04fb531ff864c07,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
1030,856,6538ef05a04fb531ff864c09,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
1031,973,6537d504c2f29c6ab8f7c4c6,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-21,ППСА,ППСА-6,
1032,1055,6539595ea04fb531ff866207,ВПИ,ФЭИ ВПИ,18.03.01 Химическая технология,ВХТ-301,РВП,РВП-7,
1033,663,6538faada04fb531ff8650a8,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-331,ППЦП,ППЦП-6,
1034,764,6538ef0aa04fb531ff864c0b,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,
1035,774,6537d508c2f29c6ab8f7c4c7,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-20,ППСА,ППСА-2,
1036,57,6538ef0fa04fb531ff864c0d,ВПИ,ФЭИ ВПИ,09.03.04 Программная инженерия,ВИП-208,СИИ,СИИ-3,
1037,279,6537d50dc2f29c6ab8f7c4c9,ВолгГТУ,ФАГР ИАиС,07.03.01 Архитектура,Арх-2-21,ППСА,ППСА-1,
1038,385,6537e551c2f29c6ab8f7c80f,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-358,ПиР_1С,ПИР-6,
1039,176,6538fab1a04fb531ff8650aa,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-336,ППЦП,ППЦП-2,
1040,1150,6537d512c2f29c6ab8f7c4cb,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-20,ППСА,ППСА-9,
1041,13,6538ef14a04fb531ff864c10,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-267,СИИ,СИИ-14,
1042,296,65395964a04fb531ff866208,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ОИСД-1-21,РВП,РВП-6,
1043,1145,6537d518c2f29c6ab8f7c4ce,ВолгГТУ,ФТИСиТБ ИАиС,23.03.01 Технология транспортных объектов,КБТ-1-20,ППСА,ППСА-2,
1044,804,6538ef19a04fb531ff864c13,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-22,СИИ,СИИ-13,
1045,2,65395969a04fb531ff86620a,ВА МВД,подготовки следователей,40.05.01,303,РВП,РВП-6,
1046,1096,6538fab7a04fb531ff8650ac,ВПИ,ФАМ ВПИ,08.03.01 Строительство,ВСТ-223,ППЦП,ППЦП-1,
1047,857,6538ef1ea04fb531ff864c15,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
1048,200,65395909a04fb531ff8661ed,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
1049,839,6538ef23a04fb531ff864c18,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-21,СИИ,СИИ-11,
1050,124,6539596ea04fb531ff86620b,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ТОНСМ-2.2п,РВП,РВП-2,
1051,217,6537e556c2f29c6ab8f7c810,ВолгГТУ,ФЭВТ,03.03.02 Физика,Ф-369,ПиР_1С,ПИР-8,
1052,143,65395973a04fb531ff86620c,ВПИ,ФАМ ВПИ,22.03.02 Металлургия,ВМД-328,РВП,РВП-7,
1053,758,6538ef28a04fb531ff864c1a,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,
1054,1157,65395978a04fb531ff86620d,ВПИ,ФАМ ВПИ,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,ВТС-431,РВП,РВП-7,
1055,1214,6537d51dc2f29c6ab8f7c4d0,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-20,ППСА,ППСА-10,
1056,1062,6538ef2da04fb531ff864c1c,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-261,СИИ,СИИ-1,
1057,650,6539323da04fb531ff865d2f,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,СУБД,СУБД-3,
1058,974,6537d522c2f29c6ab8f7c4d3,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
1059,94,6538fabca04fb531ff8650af,ВолгГМУ,педиатрия,31.05.02 Педиатрия,406,ППЦП,ППЦП-10,
1060,7,6539597da04fb531ff86620f,ВолГАУ,биотехнологий и ветеринарной медицины,,БВМосВЕТ191,РВП,РВП-4,
1061,10,65393252a04fb531ff865d35,ВА МВД,подготовки следователей,40.05.01 Правовое обеспечение национальной безопасности,301,СУБД,СУБД-1,
1062,293,6538ef32a04fb531ff864c1e,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-41д-20,СИИ,СИИ-10,
1063,636,65393257a04fb531ff865d36,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,СУБД,СУБД-3,
1064,498,65395981a04fb531ff866210,КТИ,КТИ,29.03.02 Технологии и проектирование текстильных изделий,КТЛ-201,РВП,РВП-8,
1065,357,65395986a04fb531ff866212,ВПИ,ФЭИ ВПИ,18.03.01 Химическая технология,ВХТ-401,РВП,РВП-7,
1066,183,6539325ca04fb531ff865d37,ВолгГТУ,ФПИК,38.03.01 Экономика,ЭУв-282с,СУБД,СУБД-2,
1067,223,653b7593ae6c19d5ddcb7b57,ВолгГТУ,ФПИК,38.04.02 Менеджмент,УЧР-3,ПиР_1С,ПИР-6,
1068,491,6538ef37a04fb531ff864c21,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-211,СИИ,СИИ-9,
1069,975,6537d527c2f29c6ab8f7c4d7,ВолгГТУ,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,Тит-1-21,ППСА,ППСА-11,
1070,1215,6537d52cc2f29c6ab8f7c4db,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-10,
1071,251,6538fac1a04fb531ff8650b1,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-233,ППЦП,ППЦП-3,
1072,34,6537e55fc2f29c6ab8f7c811,ВолгГМУ,стоматологический,31.05.03 Стоматология,509,ПиР_1С,ПИР-11,
1073,1119,6537d532c2f29c6ab8f7c4de,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-22,ППСА,ППСА-8,
1074,617,6539598ba04fb531ff866213,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ВиВ-1-22,РВП,РВП-6,
1075,858,6541eaf59c1990ec63a54c0b,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,РИС_1С,РИС-3,
1077,1216,6537d536c2f29c6ab8f7c4e0,ВолгГТУ,ФСиЖКХ ИАиС,15.03.02 Технологические машины и оборудование,МНС-1-22,ППСА,ППСА-11,
1078,58,6538ef3ca04fb531ff864c24,ВПИ,ФЭИ ВПИ,09.03.04 Программная инженерия,ВИП-208,СИИ,СИИ-3,
1079,976,6537d53bc2f29c6ab8f7c4e4,ИАиС,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,ТиТ-1-20,ППСА,ППСА-3,
1080,1154,6537d540c2f29c6ab8f7c4e6,ВолгГТУ,ФТИСиТБ ИАиС,20.04.01 Техносферная безопасность,ТБм-1-22,ППСА,ППСА-1,
1081,828,6538ef41a04fb531ff864c28,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
1082,84,6538fac6a04fb531ff8650b3,ВПИ,ФАМ ВПИ,15.04.04 Автоматизация технологических процессов и производств,ВАЭ-2,ППЦП,ППЦП-1,
1083,559,6538ef46a04fb531ff864c2b,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
1084,805,6538ef4ca04fb531ff864c2d,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-22,СИИ,СИИ-13,
1085,449,65393266a04fb531ff865d3d,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-352,СУБД,СУБД-5,
1087,96,6538facca04fb531ff8650b5,ВолгГМУ,лечебное дело,31.05.01 Лечебное дело,16,ППЦП,ППЦП-10,
1088,30,6538ef50a04fb531ff864c30,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-262,СИИ,СИИ-1,
1089,891,6537e564c2f29c6ab8f7c812,ВолгГТУ,ФТКМ,15.04.01 Машиностроение,СП-1п,ПиР_1С,ПИР-8,
1090,894,6538fad1a04fb531ff8650b8,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-321,ППЦП,ППЦП-4,
1091,977,6537d546c2f29c6ab8f7c4e8,ВолгГТУ,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,Тит-1-21,ППСА,ППСА-11,
1092,126,65395990a04fb531ff866215,ВолгГТУ,ФЭВТ,12.03.01 Приборостроение,ИИТ-473,РВП,РВП-9,
1093,978,6537d54ac2f29c6ab8f7c4ea,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-2-21,ППСА,ППСА-6,
1094,762,6538fad6a04fb531ff8650ba,ВолгГТУ,ФАСТиВ,"17.05.02 Стрелково-пушечное, артелерийское и ракетное оруджие",СПО-301,ППЦП,ППЦП-5,
1095,205,6541f9bf9c1990ec63a54d53,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-262,РИС_1С,РИС-1,
1096,814,6538ef55a04fb531ff864c32,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-22,СИИ,СИИ-13,
1097,979,6537d54fc2f29c6ab8f7c4ec,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-1-20,ППСА,ППСА-5,
1098,45,6538ef5aa04fb531ff864c34,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-221,СИИ,СИИ-9,
1099,31,6538c073c2f29c6ab8f7d6c1,ВолгГМУ,Менеджмент,38.04.02 Менеджмент,302,ПиР_1С,ПИР-10,
1100,424,6537e56ec2f29c6ab8f7c815,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭММ-354,ПиР_1С,ПИР-4,
1101,278,65393271a04fb531ff865d41,ВолгГТУ,ФПИК,38.03.01 Экономика,ЭУв-381,СУБД,СУБД-1,
1102,915,63a4b362f099bd63acef5266,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,УТС-320,СИИ,СИИ-14,
1103,60,6538ef63a04fb531ff864c39,ВПИ,ФЭИ ВПИ,09.03.04 Программная инженерия,ВИП-308,СИИ,СИИ-3,
1104,33,6538ef68a04fb531ff864c3b,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-262,СИИ,СИИ-1,
1105,1079,65393276a04fb531ff865d43,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-358,СУБД,СУБД-4,
1106,219,6537e573c2f29c6ab8f7c816,ВолгГТУ,ФЭВТ,03.03.02 Физика,Ф-469,ПиР_1С,ПИР-8,
1107,980,6537d555c2f29c6ab8f7c4ee,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-1-20,ППСА,ППСА-5,
1108,1126,6537d55ac2f29c6ab8f7c4ef,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-22,ППСА,ППСА-5,
1109,436,6537e578c2f29c6ab8f7c817,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,ПиР_1С,ПИР-1,
1110,738,6538ef6da04fb531ff864c3d,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,..
1111,94,6538fae0a04fb531ff8650be,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-341,ППЦП,ППЦП-8,
1112,816,6538ef72a04fb531ff864c40,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-22,СИИ,СИИ-13,
1113,427,6537e57dc2f29c6ab8f7c818,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭМЭ-357,ПиР_1С,ПИР-6,
1114,102,6539327ba04fb531ff865d45,ВолгГМУ,,,"Ординатор по направлению ""Терапия""",СУБД,СУБД-5,
1115,432,65393280a04fb531ff865d46,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-351,СУБД,СУБД-5,
1116,26,6538fae5a04fb531ff8650c0,ВолгГМУ,неврология ,31.08.42 Неврология,3,ППЦП,ППЦП-10,
1117,417,6541ec149c1990ec63a54c1b,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-334,ПиР_1С,ПИР-4,
1119,1217,6537d562c2f29c6ab8f7c4f1,ВолгГТУ,ФСиЖКХ ИАиС,15.03.02 Технологические машины и оборудование,МНС-1-21,ППСА,ППСА-11,
1120,75,6538faeaa04fb531ff8650c2,ВолгГМУ,,31.05.01 Лечебное дело,604,ППЦП,ППЦП-11,
1121,880,65414d4c9c1990ec63a546b7,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,УТС-220,РИС_1С,РИС-4,
1122,992,63a5927b4700e33421fd1ba5,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-431,ППЦП,ППЦП-6,
1123,777,6537d567c2f29c6ab8f7c4f2,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ОТИ-1-22,ППСА,ППСА-9,
1124,1151,6537d56bc2f29c6ab8f7c4f3,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-20,ППСА,ППСА-9,
1125,103,65395995a04fb531ff866216,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ТОНСМ-2.2п,РВП,РВП-2,
1126,507,6539599aa04fb531ff866217,КТИ,КТИ,13.03.02 Электроэнергетика и электротехника,КЭЛ-211,РВП,РВП-8,
1127,987,6537d570c2f29c6ab8f7c4f4,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,ПБ-1-20,ППСА,ППСА-7,
1128,784,653ea23c069ffdd0f6a7776a,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,МиР-322,РИС_1С,РИС-4,
1129,897,6538faf5a04fb531ff8650c6,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-443,ППЦП,ППЦП-5,
1130,450,6538ef77a04fb531ff864c41,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-362,СИИ,СИИ-7,
1131,336,6537e587c2f29c6ab8f7c81a,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,ПБ-1-20,ПиР_1С,ПИР-8,
1132,694,6538ef7ca04fb531ff864c43,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-461,СИИ,СИИ-6,
1133,1218,6537d574c2f29c6ab8f7c4f5,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-10,
1134,883,6538fafaa04fb531ff8650c8,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-221,ППЦП,ППЦП-4,
1135,30,6539328ba04fb531ff865d48,ВА МВД,подготовки следователей,40.05.01 Правовое обеспечение национальной безопасности,401,СУБД,СУБД-2,
1136,255,6538faffa04fb531ff8650ca,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-231,ППЦП,ППЦП-3,
1137,210,65410d408d4312cf6ca319d0,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия ,ПрИн-268,РИС_1С,РИС-1,
1138,670,6537e58dc2f29c6ab8f7c81b,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-329,ПиР_1С,ПИР-4,
1139,180,6538fb04a04fb531ff8650cc,ВПИ,ФЭИ ВПИ,18.04.01 Химическая технология,ВТПЭ-1,ППЦП,ППЦП-2,
1140,718,6541f9d19c1990ec63a54d55,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-462,РИС_1С,РИС-3,
1141,104,653959a0a04fb531ff866218,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-342,РВП,РВП-2,
1142,518,6538ef81a04fb531ff864c45,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-31д21,СИИ,СИИ-10,
1143,40,6537e592c2f29c6ab8f7c81c,ВолгГМУ,Институт общественного здоровья ,32.05.01 Медико-профилактическое дело,301,ПиР_1С,ПИР-10,
1144,497,653959a4a04fb531ff866219,КТИ,КТИ,29.03.02 Технологии и проектирование текстильных изделий,КТЛ-201,РВП,РВП-8,
1145,754,6541f9d69c1990ec63a54d57,ВолгГТУ,ФАСТИВ ,27.03.04 Управление в технических системах,МИР-322,РИС_1С,РИС-4,
1146,315,653959a9a04fb531ff86621b,ВПИ,ФЭИ ВПИ,38.03.01 Экономика,ВЭ-211,РВП,РВП-5,
1147,840,6538ef86a04fb531ff864c47,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-21,СИИ,СИИ-11,
1148,49,6538ef8ba04fb531ff864c49,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
1149,695,6541f9db9c1990ec63a54d58,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-363,РИС_1С,РИС-2,
1150,73,6538fb09a04fb531ff8650cd,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-224,ППЦП,ППЦП-4,
1151,668,6538fb0fa04fb531ff8650cf,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-328,ППЦП,ППЦП-6,
1152,522,653959aea04fb531ff86621e,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-20,РВП,РВП-6,
1153,147,653959b3a04fb531ff86621f,ВПИ,ФЭИ ВПИ,18.04.01 Химическая технология,ВТПЭ-1,РВП,РВП-5,
1154,708,6539328fa04fb531ff865d4a,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
1155,795,65393295a04fb531ff865d4e,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
1156,492,6538ef8fa04fb531ff864c4b,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-211,СИИ,СИИ-9,
1157,859,6538ef93a04fb531ff864c4f,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
1158,261,6537d579c2f29c6ab8f7c4f8,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,СиЭОНО-1-20,ППСА,ППСА-3,
1159,1183,6538fb14a04fb531ff8650d1,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-324,ППЦП,ППЦП-9,
1160,1219,6537d57dc2f29c6ab8f7c4fa,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-10,
1161,83,6538fb1aa04fb531ff8650d4,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-231,ППЦП,ППЦП-3,
1162,63,6538ef98a04fb531ff864c51,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-41Д-20,СИИ,СИИ-10,
1163,29,6537e597c2f29c6ab8f7c81d,ВолгГМУ,Экономика и менеджмент,38.04.02 Менеджмент,М-202,ПиР_1С,ПИР-10,
1164,829,653d50f74f415b783ef5c1ca,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
1165,585,653959b8a04fb531ff866221,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ВиВ-1-20,РВП,РВП-6,
1166,981,6537d582c2f29c6ab8f7c4fc,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
1167,316,6538e7aca04fb531ff8647fc,ВолгГТУ,ФТКМ,15.04.01 машиностроение,ЛПЛ-2п,ППЦП,ППЦП-8,
1168,1220,6537d586c2f29c6ab8f7c4fd,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-10,
1169,298,653959bda04fb531ff866222,ВПИ,ФАМ ВПИ,38.04.01 Экономика,ВЭМ-2,РВП,РВП-7,
1170,594,6537d58cc2f29c6ab8f7c4ff,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-20,ППСА,ППСА-2,
1171,989,653959c1a04fb531ff866223,ВолгГТУ,ФЭВТ,12.03.01 Приборостроение,ИИТ-273,РВП,РВП-3,
1172,23,6538fb25a04fb531ff8650d8,ВолгГМУ,лечебный факультет,31.05.01 Лечебное дело,604,ППЦП,ППЦП-11,
1173,982,6537d591c2f29c6ab8f7c500,ВолгГТУ,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,Тит-1-21,ППСА,ППСА-11,
1174,1066,65195eaddffa55157ef6d763,КТИ,КТИ,"38.03.01 Экономика
        ",КБА-211 св,РВП,РВП-8,
1175,508,653959caa04fb531ff866224,КТИ,КТИ,13.03.02 Электроэнергетика и электротехника,КЭЛ-211,РВП,РВП-8,
1176,925,6538efa2a04fb531ff864c56,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
1177,358,653959cfa04fb531ff866225,ВПИ,ФЭИ ВПИ,38.03.01  Экономика ,ВЭ-211,РВП,РВП-5,
1178,993,6331373f3e21fda8e9108268,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,ПиР_1С,ПИР-1,
1179,70,6538fb2aa04fb531ff8650da,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-424,ППЦП,ППЦП-4,
1180,713,65393299a04fb531ff865d4f,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-458,СУБД,СУБД-6,
1181,159,6538fb30a04fb531ff8650de,ВПИ,ФАМ ВПИ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",ВТМ-221,ППЦП,ППЦП-1,
1182,26,6537e59fc2f29c6ab8f7c81f,ВолГАУ,Электроэнергетический,Бакалавриат,ЭЭФобАИ201,ПиР_1С,ПИР-6,
1183,554,653bf130e189abe05fdf83d7,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,РИС_1С,РИС-2,
1184,190,6539329fa04fb531ff865d53,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-359,СУБД,СУБД-4,
1185,38,6537e5a4c2f29c6ab8f7c821,ВолгГМУ,Менеджмент,38.04.02 Менеджмент,М-202,ПиР_1С,ПИР-11,
1186,6,6543b9fc9c1990ec63a5824e,ВА МВД,подготовки следователей,40.05.01 Правовое обеспечение национальной безопасности,301,СУБД,СУБД-1,
1187,1083,6538efa7a04fb531ff864c59,ВолгГТУ,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
1188,682,6537e5a9c2f29c6ab8f7c823,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭММ-354,ПиР_1С,ПИР-4,
1189,895,6537d596c2f29c6ab8f7c501,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-20,ППСА,ППСА-2,
1190,899,6538fb36a04fb531ff8650e0,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-228,ППЦП,ППЦП-3,
1191,860,6538efaca04fb531ff864c5b,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
